13 0.951057 1.00049 0.950068 0.804728 0.578888 0.295021 -0.018586 -0.330647 -0.61 -0.828718 -0.964902 -1.00487 -0.944536 -0.789827 -0.556097 -0.266608 0.0497904 0.361529 0.637476 0.850041 0.977935 1.00831 0.938021 0.774002 0.532533 0.23765 -0.0812557 -0.753047 -0.855878 -0.990176 -1.01049 -0.931319 -0.758974 -0.510677 -0.211141 
13.5 0.809017 0.952477 1.00097 0.949559 0.80328 0.576645 0.292205 -0.0216939 -0.333737 -0.612763 -0.830878 -0.966242 -1.00526 -0.943929 -0.788286 -0.553775 -0.263736 0.0529256 0.364615 0.640205 0.852139 0.979193 1.0086 0.937315 0.772369 0.530135 0.234725 -0.0844155 -0.759734 -0.856839 -0.99151 -1.01068 -0.930525 -0.757258 -0.508211 
14 0.587785 0.811229 0.953889 1.00144 0.94904 0.801822 0.574393 0.289383 -0.0248046 -0.336826 -0.615522 -0.833032 -0.967574 -1.00563 -0.943312 -0.786736 -0.551446 -0.260859 0.0560635 0.367701 0.64293 0.854231 0.980443 1.00888 0.9366 0.770726 0.527729 0.231795 -0.0875776 -0.766455 -0.857743 -0.992847 -1.01086 -0.929722 -0.755533 
14.5 0.309017 0.590573 0.813436 0.955294 1.0019 0.948511 0.800355 0.572133 0.286556 -0.0279182 -0.339915 -0.618278 -0.835179 -0.968898 -1.006 -0.942685 -0.785176 -0.549108 -0.257976 0.0592039 0.370786 0.645651 0.856317 0.981684 1.00915 0.935874 0.769075 0.525315 0.22886 -0.090742 -0.773212 -0.858588 -0.99419 -1.01102 -0.928909 
15 1.60769e-07 0.312107 0.593358 0.815637 0.956691 1.00235 0.947973 0.798879 0.569866 0.283722 -0.0310346 -0.343004 -0.621031 -0.837321 -0.970214 -1.00636 -0.942048 -0.783608 -0.546763 -0.255088 0.0623468 0.37387 0.648369 0.858397 0.982917 1.00941 0.935139 0.767414 0.522894 0.225919 -0.0939086 -0.780005 -0.859374 -0.995538 -1.01118 
15.5 -0.309017 0.00309033 0.315197 0.596139 0.817832 0.958079 1.0028 0.947425 0.797393 0.56759 0.280884 -0.0341538 -0.346092 -0.623781 -0.839456 -0.971521 -1.00671 -0.941402 -0.78203 -0.544411 -0.252195 0.0654922 0.376954 0.651083 0.86047 0.984142 1.00966 0.934394 0.765745 0.520466 0.222974 -0.0970774 -0.786835 -0.8601 -0.996892 
16 -0.587785 -0.306229 0.00618353 0.318288 0.598918 0.820021 0.95946 1.00323 0.946867 0.795899 0.565307 0.27804 -0.0372758 -0.349181 -0.626527 -0.841585 -0.972821 -1.00705 -0.940745 -0.780443 -0.54205 -0.249297 0.0686401 0.380037 0.653794 0.862536 0.985358 1.00991 0.933638 0.764066 0.51803 0.220023 -0.100248 -0.793701 -0.860764 
16.5 -0.809017 -0.585573 -0.303436 0.00927972 0.321378 0.601693 0.822204 0.960832 1.00365 0.946299 0.794395 0.563016 0.27519 -0.0404004 -0.352268 -0.629269 -0.843708 -0.974112 -1.00737 -0.940079 -0.778846 -0.539683 -0.246393 0.0717904 0.38312 0.6565 0.864597 0.986565 1.01014 0.932873 0.762378 0.515586 0.217068 -0.103422 -0.800603 
17 -0.951056 -0.807596 -0.583353 -0.300637 0.0123789 0.324468 0.604465 0.824382 0.962197 1.00407 0.945721 0.792881 0.560718 0.272334 -0.0435278 -0.355356 -0.632008 -0.845825 -0.975395 -1.00769 -0.939403 -0.777241 -0.537307 -0.243484 0.0749432 0.386201 0.659203 0.866651 0.987764 1.01036 0.932098 0.76068 0.513135 0.214107 -0.106597 
17.5 -1 -0.950567 -0.806167 -0.581124 -0.297832 0.015481 0.327558 0.607235 0.826553 0.963553 1.00447 0.945134 0.791359 0.558411 0.269474 -0.0466578 -0.358443 -0.634744 -0.847936 -0.976669 -1.008 -0.938717 -0.775626 -0.534924 -0.240569 0.0780983 0.389282 0.661903 0.868698 0.988955 1.01058 0.931314 0.758974 0.510677 0.211141 
18 -0.951057 -1.00049 -0.950068 -0.804728 -0.578888 -0.295021 0.018586 0.330647 0.61 0.828719 0.964902 1.00487 0.944536 0.789827 0.556097 0.266607 -0.0497904 -0.361529 -0.637476 -0.850041 -0.977935 -1.00831 -0.938021 -0.774002 -0.532533 -0.23765 0.0812558 0.392363 0.664598 0.870739 0.990137 1.01078 0.930519 0.757259 0.508211 
18.5 -0.809017 -0.952477 -1.00097 -0.949559 -0.803279 -0.576644 -0.292205 0.0216939 0.333737 0.612763 0.830878 0.966242 1.00526 0.943929 0.788286 0.553775 0.263736 -0.0529257 -0.364615 -0.640205 -0.852139 -0.979193 -1.0086 -0.937315 -0.772369 -0.530135 -0.234725 0.0844156 0.395442 0.667289 0.872774 0.991311 1.01098 0.929714 0.755534 
19 -0.587785 -0.811229 -0.953889 -1.00144 -0.94904 -0.801822 -0.574393 -0.289383 0.0248047 0.336826 0.615522 0.833032 0.967574 1.00563 0.943312 0.786736 0.551446 0.260859 -0.0560635 -0.367701 -0.64293 -0.854231 -0.980443 -1.00888 -0.9366 -0.770726 -0.527729 -0.231795 0.0875777 0.398521 0.669977 0.874802 0.992476 1.01116 0.9289 
19.5 -0.309017 -0.590573 -0.813436 -0.955294 -1.0019 -0.948511 -0.800355 -0.572133 -0.286555 0.0279183 0.339915 0.618279 0.835179 0.968898 1.006 0.942685 0.785176 0.549108 0.257976 -0.0592039 -0.370786 -0.645651 -0.856317 -0.981684 -1.00915 -0.935874 -0.769075 -0.525315 -0.228859 0.0907421 0.401599 0.672661 0.876823 0.993632 1.01134 
